ProjectNo,SFP_m3perTonWasteIn,CoDigested,Present_Other,Present_Manure,Present_FW,Present_IBW,Present_GW,Present_BW,Capacity_tpy,ActualInput_tpy,Digester_Box,Digester_PlugFlow,Digester_WetFerm,Digester_Other,Digester_SingleStage,Temp_Meso,Pre_Crushing,Pre_Screening,Pre_ManualSorting,Pre_MagneticSorting,Pre_SubstanceSeparation,Pre_SandRemoval,Pre_Slurrying,Pre_Other,Pre_TotalSteps,Pasteurization,Dewatering,MarketedCompost_tpy,MarketedLiqDig_tpy,ElCap_kW,Use_Heating,Use_Electricity,Use_MicroGasGrid,Use_GasFeedIn,Use_Other,State,Input_Other_Pct,Input_Manure_Pct,Input_FW_Pct,Input_IndustryBW_Pct,Input_GreenWaste_Pct,Input_BW_Pct,Capacity_tpd,ActualInput_tpd,Capacity_Pct,Year commissioned
78,2,3,0,0,0,1,1,1,12000,12000,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,4000,0,370,1,0,1,0,0,Hessen,0,0,0,9,1,90,32.88,32.88,1,2010
79,2,1,0,0,1,0,0,0,120000,26056,0,0,1,0,0,1,1,0,0,0,1,1,0,1,4,1,0,0,26057,3120,1,1,0,0,0,Nordrhein-Westfalen,0,0,100,0,0,0,328.77,71.39,0.22,2011
80,,3,0,0,0,1,1,1,37166,14000,0,0,1,0,0,1,1,1,1,1,1,1,1,0,7,1,1,0,0,760,1,1,0,0,0,Bayern,0,0,0,35,15,50,101.82,38.36,0.38,2014
81,2,1,0,0,0,0,0,1,22500,19748,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6871,0,570,1,1,0,0,0,Bayern,0,0,0,0,0,100,61.64,54.1,0.88,2007
82,4,1,0,0,0,0,0,1,22000,16114,0,0,1,0,1,0,1,0,0,1,1,1,1,0,5,0,1,7205,0,650,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,0,100,60.27,44.15,0.73,1996
83,,,0,0,0,0,0,0,12000,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,1,0,0,0,Thüringen,,,,,,,32.88,,,2013
84,2,2,0,0,0,0,1,1,24000,23000,1,0,0,0,1,1,1,1,0,1,0,0,1,0,4,0,0,26000,0,680,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,2,98,65.75,63.01,0.96,2007
85,,3,1,0,1,1,0,0,50000,50000,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,40000,2100,1,1,0,0,0,Mecklenburg-Vorpommern,55,0,25,20,0,0,136.99,136.99,1,2004
86,4,1,0,0,0,0,0,1,40000,40000,0,1,0,0,1,0,1,1,1,1,0,0,1,0,5,0,1,8790,18000,1487,1,1,0,0,0,Bayern,0,0,0,0,0,100,109.59,109.59,1,2003
87,1,1,0,0,0,0,0,1,10000,10000,0,0,1,0,0,0,0,1,0,1,1,1,1,0,5,0,1,5000,0,384,1,1,0,0,0,Niedersachsen,0,0,0,0,0,100,27.4,27.4,1,1998
88,,4,1,1,1,1,0,0,100000,76759,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1250,1,1,0,0,0,Mecklenburg-Vorpommern,28,46,7,19,0,0,273.97,210.3,0.77,1996
89,,3,1,1,0,1,0,0,,,0,0,1,0,0,1,1,1,0,1,1,1,1,0,6,1,1,0,0,830,1,1,0,0,0,Sachsen,77,9,0,14,0,0,,,,1998
90,2,2,1,0,0,0,1,0,18000,18000,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,7000,8500,625,1,1,0,0,0,Bayern,22,0,0,0,78,0,49.32,49.32,1,2007
91,4,3,1,0,1,1,0,0,40000,22000,0,0,1,0,1,1,1,0,0,0,1,1,1,1,5,1,0,0,22000,1020,1,1,0,0,0,Niedersachsen,33,0,47,20,0,0,109.59,60.27,0.55,1998
92,4,2,0,0,1,1,0,0,12000,11800,0,0,1,0,0,1,1,0,0,1,1,1,1,0,5,1,1,1300,9500,700,1,1,0,0,0,Bayern,0,0,49,51,0,0,32.88,32.33,0.98,1997
93,4,3,1,0,0,0,1,1,18250,18250,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1050,1,1,0,0,0,Thüringen,70,0,0,0,10,20,50,50,1,2007
94,,,0,0,0,0,0,0,50000,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1056,1,1,0,0,0,Nordrhein-Westfalen,,,,,,,136.99,,,2013
95,4,2,0,0,1,1,0,0,16000,12000,0,0,1,0,1,1,1,1,1,0,1,1,1,0,6,1,1,0,10000,861,1,1,0,0,0,Bayern,0,0,59,41,0,0,43.84,32.88,0.75,1996
96,3,2,0,1,1,0,0,0,115000,79432,0,0,1,0,1,1,1,1,0,0,1,0,0,1,4,1,0,0,60000,1886,1,1,0,0,0,Thüringen,0,35,65,0,0,0,315.07,217.62,0.69,2006
97,4,1,0,0,0,1,0,0,12000,,0,0,1,1,1,1,1,1,0,0,0,0,1,1,4,1,1,1280,0,569,1,1,0,0,0,Brandenburg,0,0,0,100,0,0,32.88,,,2009
98,2,2,0,0,0,0,1,1,18000,18000,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,5500,9000,630,1,1,0,0,0,Bayern,0,0,0,0,37,63,49.32,49.32,1,2012
99,4,3,1,0,0,1,0,1,18000,17545,0,1,0,0,0,0,0,1,0,1,0,1,0,0,3,0,1,4661,8000,1140,1,1,0,0,0,Bayern,19,0,0,5,0,76,49.32,48.07,0.97,2005
100,1,2,0,0,0,0,1,1,70000,52775,1,0,0,0,0,1,1,1,0,1,1,0,0,0,4,0,0,18765,0,0,0,0,0,1,0,Schleswig-Holstein,0,0,0,0,5,95,191.78,144.59,0.75,2011
101,4,2,0,1,0,0,0,1,10000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,450,1,0,1,0,0,Bayern,0,34,0,0,0,66,27.4,,,2001
102,,3,1,0,1,0,0,1,22000,11000,0,0,1,0,0,1,1,1,0,1,1,1,1,0,6,1,1,0,0,360,1,1,0,0,0,Bayern,8,0,1,0,0,91,60.27,30.14,0.5,1996
103,3,1,0,0,0,0,0,1,18000,15000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,15300,3500,800,1,1,0,0,0,Schleswig-Holstein,0,0,0,0,0,100,49.32,41.1,0.83,2012
104,1,2,0,0,0,0,1,1,18000,12951,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7000,0,500,1,1,0,0,0,Niedersachsen,0,0,0,0,8,92,49.32,35.48,0.72,2011
105,2,1,0,0,0,0,0,1,10000,10000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2500,0,330,1,1,0,0,0,Niedersachsen,0,0,0,0,0,100,27.4,27.4,1,2008
106,4,2,0,0,1,0,0,1,35000,35000,0,0,1,0,1,1,0,0,0,1,1,1,0,0,3,1,1,0,0,0,1,1,0,0,0,Bayern,0,0,30,0,0,70,95.89,95.89,1,1995
107,,3,1,0,0,0,1,1,13000,13000,1,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,9000,3000,840,0,0,1,0,0,Bayern,30,0,0,0,21,49,35.62,35.62,1,2008
108,1,2,0,0,0,0,1,1,18250,13754,1,0,0,0,1,1,1,1,1,1,0,0,0,0,4,0,0,3412,0,365,1,1,0,0,0,Bayern,0,0,0,0,31,69,50,37.68,0.75,2010
109,4,3,0,0,0,1,1,1,30000,25023,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,1,5700,12040,856,1,1,0,0,0,Sachsen-Anhalt,0,0,0,4,6,90,82.19,68.56,0.83,2004
110,4,3,1,0,0,0,1,1,18250,18250,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,0,6000,700,1,1,0,0,0,Nordrhein-Westfalen,5,0,0,0,14,81,50,50,1,2013
111,2,1,0,0,0,0,0,1,18250,18250,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,10000,1600,537,1,0,0,0,1,Nordrhein-Westfalen,0,0,0,0,0,100,50,50,1,2012
112,3,2,0,0,0,0,1,1,13000,9450,0,1,0,0,1,0,1,0,1,1,1,0,1,0,5,0,1,2000,5000,830,1,1,0,0,0,Rheinland-Pfalz,0,0,0,0,2,98,35.62,25.89,0.73,1997
113,3,5,0,1,1,1,1,1,62000,21800,0,0,1,0,0,1,1,1,0,1,1,1,1,0,6,1,1,0,0,744,1,1,0,0,0,Sachsen,0,25,5,16,5,49,169.86,59.73,0.35,1997
